Cartesian
Radius  Average   Standard Deviation   Variance
92        27.3253      0.0213458    0.000455642
93         27.006      0.0892632     0.00796791
94        27.5636      0.0138082    0.000190667
95        27.3908      0.0720385     0.00518955
96        27.4394       0.049374     0.00243779
97        27.6533      0.0602863     0.00363444
98        33.1992       0.164495      0.0270587
99        28.3186       0.030502    0.000930371
100        28.7227      0.0404113     0.00163307
101        28.0701      0.0416262     0.00173274
102        28.4625      0.0170069    0.000289236
103        28.8597       0.051046     0.00260569
104        28.8629      0.0359774     0.00129438
105        28.6794       0.372483       0.138744
106        28.8769        1.58583        2.51484
107        28.7255        0.21154      0.0447493
108        28.5616      0.0771488     0.00595193
109        28.9178      0.0484443     0.00234685
110        28.9009      0.0664126     0.00441063
111        32.7535      0.0784978      0.0061619
112        29.7788      0.0386377     0.00149287
113        29.9459      0.0919545     0.00845563
114        30.0681       0.029485    0.000869366
115        30.1082      0.0846879     0.00717203
116        29.9129       0.382419       0.146244
117        30.2906      0.0317579     0.00100857
118        30.4525      0.0489622      0.0023973
119        30.8297      0.0076255    5.81482e-05
120        30.7107      0.0407913     0.00166393
121        31.4228       0.025837    0.000667549
122        31.6867      0.0415514     0.00172652
123        31.3868      0.0274518    0.000753601
124        31.3854      0.0194455    0.000378129
125        31.4649       0.023953    0.000573748
126        31.2703      0.0547262     0.00299496
127        32.4729       0.021172    0.000448252
128        31.1882      0.0256846    0.000659698
129        32.1824      0.0366024     0.00133973
130         32.022      0.0625805     0.00391631
131        32.4729      0.0235942    0.000556685
132        32.5485      0.0173553    0.000301207
133        33.0882      0.0408188     0.00166618
134         32.954        1.80486        3.25751
135        32.4269        0.11519      0.0132687
136        33.3614      0.0202056    0.000408268
137         34.012       0.491889       0.241955
138        33.3233      0.0214091     0.00045835
139        33.9479      0.0470987     0.00221828
140         32.955       0.096341     0.00928158
141        34.2224      0.0348081     0.00121161
142        33.7628      0.0391445     0.00153229
143        33.4609       0.113665      0.0129197
144        33.8599      0.0360724     0.00130122
145        34.4108      0.0263752    0.000695654
146        34.7087      0.0408546      0.0016691
147        34.7194      0.0125596    0.000157745
148        34.5566      0.0140299    0.000196839
149        39.6754       0.506961       0.257009
150        35.3333       0.052731     0.00278056
151         35.314       0.774306       0.599549
152         35.284      0.0226419    0.000512656
153         35.982       0.983065       0.966417
154         36.698     0.00955008     9.1204e-05
155          36.62         1.0116        1.02333
156         36.231      0.0243179    0.000591361
157         36.388      0.0273695    0.000749088
158          36.08       0.029093      0.0008464
159         35.732       0.101428      0.0102876
160         35.954       0.096323     0.00927812
161             37              0              0
162         36.568       0.013661    0.000186624
163         36.706       0.147312      0.0217009
164         36.473      0.0166652    0.000277729
165         35.822      0.0974031     0.00948737
166         37.063      0.0296305    0.000877969
167          36.39      0.0720014      0.0051842
168         37.112      0.0597038     0.00356454
169          37.81      0.0979398      0.0095922
170         37.738      0.0715307     0.00511664
171         38.258      0.0331832     0.00110113
172         38.047      0.0617593     0.00381421
173         39.718      0.0126114    0.000159048
174         38.035       0.030516    0.000931225
175         38.568        1.36096        1.85221
176          38.72      0.0404772      0.0016384
177         38.802      0.0535762     0.00287041
178         38.646      0.0111945    0.000125316
179         39.424      0.0189619    0.000359552
180         41.188     0.00594508     3.5344e-05
181         40.288        1.13091        1.27897
182         38.385      0.0510708     0.00260823
183         43.854       0.095972     0.00921063
184         44.738      0.0715307     0.00511664
185         44.798      0.0537551     0.00288961
186         45.701       0.230815      0.0532754
187         45.578       0.555529       0.308612
188         45.389      0.0509443     0.00259532
189         44.932      0.0924838     0.00855325
190         45.495       0.142461       0.020295
191         46.232      0.0103754    0.000107648
192         44.706      0.0725426     0.00526244
193          45.75       0.190066       0.036125
194         45.182       0.089113     0.00794112
195         45.596        0.10751      0.0115584
196         45.491      0.0793415     0.00629508
197         46.774      0.0995497     0.00991015
198         46.055      0.0615063     0.00378302
199          46.33      0.0746847      0.0055778
200         46.715       0.876425       0.768121
201          47.53      0.0657404      0.0043218
202         47.406      0.0187839    0.000352836
203         46.626       0.106169      0.0112718
204          47.12      0.0594508      0.0035344
205         50.854      0.0829134     0.00687463
206          47.27      0.0863302      0.0074529
207         48.328       0.119495      0.0142792
208         46.997      0.0949632     0.00901801
209         47.156       0.127188      0.0161767
210         47.844      0.0681787     0.00464834
211          48.39      0.0720014      0.0051842
212         47.423      0.0814919     0.00664093
213          47.97       0.135506      0.0183618
214         48.077      0.0608106     0.00369793
215          48.76       0.100176      0.0100352
216         48.682      0.0416788     0.00173712
217         49.236      0.0788885     0.00622339
218         48.364      0.0833576      0.0069485
219          49.26       0.301422      0.0908552
220         49.767       0.102236      0.0104523
221         48.996       0.134343       0.018048
222         49.803       0.543817       0.295737
223          49.75       0.100623       0.010125
224         49.361      0.0518297     0.00268632
225         50.402      0.0714647     0.00510721
226         50.169      0.0579013     0.00335256
227         49.888       0.139173      0.0193691
228          50.21      0.0882275      0.0077841
229         50.936      0.0475835     0.00226419
230         49.579       0.139804      0.0195452
231         50.368      0.0729853     0.00532685
232         50.666      0.0738076     0.00544756
233         51.248       0.123073       0.015147
234             51      0.0948683          0.009
235         53.448      0.0200352    0.000401408
236         50.924      0.0656489     0.00430978
237         51.094       0.174682      0.0305137
238         51.694      0.0729221     0.00531764
239         51.868      0.0953459     0.00909085
240         52.241       0.814571       0.663526
241         52.134        1.39235        1.93865
242         52.097      0.0918009     0.00842741
243         52.286       0.121374      0.0147316
244         52.075      0.0924966     0.00855562
245         55.202      0.0537551     0.00288961
246         52.746       0.102901      0.0105885
247         52.368        1.19102        1.41853
248         53.174      0.0577432     0.00333428
249         53.818       0.142303      0.0202502
250         53.158      0.0898719     0.00807696
Equation of Least Mean Square
y = 7.46585 + 0.189978x
------------------------------------------------
